Report Number,Date Reported,Date of Occurrence,Time of Occurrence,City,Crime Code,Crime Description,Victim Age,Victim Gender,Weapon Used,Crime Domain,Police Deployed,Case Closed,Date Case Closed
23,20-07-2025,17-07-2025,17-07-2025 02:14,Mumbai,104,Cyber Crime,39,F,None,Other Crime,8,0,
24,29-12-2024,26-12-2024,26-12-2024 11:38,Mumbai,100,Assault,49,F,Knife,Violent Crime,4,1,23-07-2025
25,25-04-2025,22-04-2025,22-04-2025 18:02,Bangalore,103,Homicide,43,M,Firearm,Violent Crime,15,0,
26,21-09-2024,18-09-2024,18-09-2024 22:16,Ahmedabad,100,Assault,25,M,Knife,Violent Crime,6,0,
27,31-03-2025,30-03-2025,30-03-2025 19:48,Chennai,104,Cyber Crime,37,M,None,Other Crime,5,1,27-04-2025
28,22-12-2024,22-12-2024,22-12-2024 21:15,Mumbai,102,Robbery,13,F,Blunt Object,Property Crime,8,0,
29,15-08-2024,13-08-2024,13-08-2024 07:34,Delhi,103,Homicide,46,F,Knife,Violent Crime,15,0,
30,13-12-2024,10-12-2024,10-12-2024 17:54,Bangalore,101,Theft,31,M,None,Property Crime,5,1,29-12-2024
31,31-08-2024,28-08-2024,28-08-2024 23:14,Kolkata,107,Terrorism,42,F,Firearm,Violent Crime,20,0,
32,02-02-2025,30-01-2025,30-01-2025 08:25,Bangalore,107,Terrorism,28,M,Explosives,Violent Crime,20,0,
33,27-05-2025,24-05-2025,24-05-2025 02:11,Mumbai,102,Robbery,37,F,Blunt Object,Property Crime,4,1,21-06-2025
34,05-02-2025,03-02-2025,03-02-2025 10:33,Bangalore,104,Cyber Crime,27,M,None,Other Crime,6,0,
35,19-09-2024,19-09-2024,19-09-2024 08:43,Mumbai,105,Vandalism,21,F,Other,Property Crime,6,0,
36,11-09-2024,09-09-2024,09-09-2024 01:24,Delhi,101,Theft,22,M,Other,Property Crime,7,1,23-05-2025
37,13-02-2025,10-02-2025,10-02-2025 07:20,Jaipur,101,Theft,14,M,Other,Property Crime,2,1,25-04-2025
38,24-12-2024,22-12-2024,22-12-2024 20:54,Delhi,100,Assault,35,M,Blunt Object,Violent Crime,3,0,
39,28-07-2025,26-07-2025,26-07-2025 15:24,Mumbai,105,Vandalism,39,M,None,Property Crime,3,0,
40,14-10-2024,13-10-2024,13-10-2024 07:48,Hyderabad,102,Robbery,25,F,Blunt Object,Property Crime,2,1,23-07-2025
41,19-04-2025,18-04-2025,18-04-2025 07:49,Mumbai,101,Theft,22,M,Other,Property Crime,2,1,26-04-2025
42,02-07-2025,01-07-2025,01-07-2025 00:56,Mumbai,100,Assault,26,F,None,Violent Crime,3,0,
43,09-04-2025,09-04-2025,09-04-2025 07:10,Hyderabad,102,Robbery,18,M,Blunt Object,Property Crime,7,1,05-08-2025
44,14-05-2025,14-05-2025,14-05-2025 12:07,Jaipur,101,Theft,39,F,None,Property Crime,6,0,
45,31-10-2024,30-10-2024,30-10-2024 18:22,Mumbai,105,Vandalism,36,M,Other,Property Crime,3,0,
46,04-02-2025,02-02-2025,02-02-2025 06:37,Pune,104,Cyber Crime,44,M,None,Other Crime,4,0,
47,26-05-2025,26-05-2025,26-05-2025 19:49,Ludhiana,103,Homicide,31,F,Knife,Violent Crime,15,0,
48,24-03-2025,24-03-2025,24-03-2025 13:42,Mumbai,103,Homicide,41,M,Firearm,Violent Crime,15,0,
49,25-11-2024,24-11-2024,24-11-2024 15:09,Kolkata,102,Robbery,31,M,Blunt Object,Property Crime,8,0,
50,19-12-2024,18-12-2024,18-12-2024 15:58,Mumbai,107,Terrorism,26,F,Explosives,Violent Crime,20,0,
51,02-10-2024,01-10-2024,01-10-2024 00:25,Delhi,102,Robbery,34,M,Firearm,Property Crime,10,1,03-11-2024
52,29-10-2024,26-10-2024,26-10-2024 00:25,Mumbai,100,Assault,42,M,Blunt Object,Violent Crime,3,1,19-11-2024
53,21-09-2024,21-09-2024,21-09-2024 00:57,Kolkata,100,Assault,24,M,Knife,Violent Crime,3,1,28-01-2025
54,25-01-2025,25-01-2025,25-01-2025 16:59,Bangalore,101,Theft,24,M,Other,Property Crime,2,0,
55,07-08-2025,04-08-2025,04-08-2025 17:00,Delhi,101,Theft,45,M,Other,Property Crime,6,0,
56,12-03-2025,09-03-2025,09-03-2025 19:32,Mumbai,105,Vandalism,24,M,None,Property Crime,2,0,
57,16-09-2024,15-09-2024,15-09-2024 12:44,Delhi,101,Theft,48,M,None,Property Crime,7,0,
58,13-09-2024,13-09-2024,13-09-2024 03:12,Hyderabad,101,Theft,23,F,Other,Property Crime,4,0,
59,02-01-2025,31-12-2024,31-12-2024 06:18,Mumbai,103,Homicide,10,F,Poison,Violent Crime,15,1,15-02-2025
60,25-11-2024,24-11-2024,24-11-2024 21:16,Kolkata,101,Theft,33,F,Other,Property Crime,5,1,01-01-2025
61,18-01-2025,16-01-2025,16-01-2025 21:46,Mumbai,106,Kidnapping,47,M,None,Violent Crime,4,0,
62,23-01-2025,22-01-2025,22-01-2025 06:11,Kolkata,100,Assault,16,M,None,Violent Crime,6,0,
63,08-10-2024,06-10-2024,06-10-2024 14:46,Ahmedabad,100,Assault,36,M,Blunt Object,Violent Crime,6,1,25-12-2024
64,27-01-2025,27-01-2025,27-01-2025 03:17,Delhi,102,Robbery,18,F,Knife,Property Crime,6,1,26-06-2025
65,02-01-2025,01-01-2025,01-01-2025 21:31,Delhi,103,Homicide,28,M,Poison,Violent Crime,15,1,18-05-2025
66,13-02-2025,11-02-2025,11-02-2025 07:46,Delhi,100,Assault,14,F,None,Violent Crime,6,0,
67,15-07-2025,12-07-2025,12-07-2025 23:11,Delhi,100,Assault,31,F,Blunt Object,Violent Crime,8,1,20-07-2025
68,05-08-2025,03-08-2025,03-08-2025 00:07,Kolkata,101,Theft,38,F,None,Property Crime,2,0,
69,11-12-2024,10-12-2024,10-12-2024 22:09,Mumbai,101,Theft,35,M,Other,Property Crime,3,1,05-05-2025
70,03-12-2024,30-11-2024,30-11-2024 19:00,Ludhiana,100,Assault,34,M,Knife,Violent Crime,2,1,14-02-2025
71,15-08-2024,12-08-2024,12-08-2024 10:00,Kolkata,102,Robbery,43,M,Blunt Object,Property Crime,8,0,
72,28-06-2025,27-06-2025,27-06-2025 03:58,Bangalore,103,Homicide,20,F,Firearm,Violent Crime,15,1,30-07-2025
73,01-09-2024,30-08-2024,30-08-2024 23:34,Mumbai,102,Robbery,35,F,Blunt Object,Property Crime,8,0,
74,18-08-2024,18-08-2024,18-08-2024 21:35,Hyderabad,100,Assault,10,M,Knife,Violent Crime,7,1,19-03-2025
75,13-03-2025,11-03-2025,11-03-2025 07:22,Delhi,106,Kidnapping,23,F,Blunt Object,Violent Crime,3,0,
76,18-08-2024,18-08-2024,18-08-2024 02:15,Hyderabad,101,Theft,42,F,None,Property Crime,5,0,
77,19-05-2025,17-05-2025,17-05-2025 14:28,Delhi,102,Robbery,28,F,Firearm,Property Crime,10,1,14-07-2025
78,01-05-2025,29-04-2025,29-04-2025 21:49,Ahmedabad,105,Vandalism,16,M,Other,Property Crime,6,1,10-06-2025
79,07-01-2025,05-01-2025,05-01-2025 15:25,Hyderabad,107,Terrorism,28,M,Explosives,Violent Crime,20,0,
80,03-03-2025,28-02-2025,28-02-2025 22:56,Bangalore,100,Assault,31,M,Knife,Violent Crime,4,1,09-05-2025
81,17-04-2025,15-04-2025,15-04-2025 07:10,Delhi,100,Assault,31,F,Knife,Violent Crime,4,1,29-04-2025
82,21-12-2024,18-12-2024,18-12-2024 19:37,Mumbai,100,Assault,20,M,Knife,Violent Crime,3,0,
83,30-05-2025,27-05-2025,27-05-2025 03:22,Delhi,101,Theft,34,M,Other,Property Crime,3,0,
84,03-10-2024,01-10-2024,01-10-2024 13:45,Kolkata,101,Theft,22,M,Other,Property Crime,8,0,
85,25-07-2025,24-07-2025,24-07-2025 11:57,Mumbai,102,Robbery,44,M,Firearm,Property Crime,10,0,
86,07-01-2025,06-01-2025,06-01-2025 15:19,Delhi,104,Cyber Crime,27,F,None,Other Crime,5,0,
87,08-02-2025,06-02-2025,06-02-2025 11:23,Pune,100,Assault,33,M,Knife,Violent Crime,8,0,
88,14-07-2025,11-07-2025,11-07-2025 01:26,Hyderabad,100,Assault,36,M,None,Violent Crime,3,1,23-07-2025
89,04-12-2024,02-12-2024,02-12-2024 11:20,Kolkata,101,Theft,29,F,Other,Property Crime,3,0,
90,01-11-2024,30-10-2024,30-10-2024 22:41,Delhi,100,Assault,25,M,None,Violent Crime,5,0,
91,02-11-2024,31-10-2024,31-10-2024 00:01,Kolkata,102,Robbery,38,F,Knife,Property Crime,3,0,
92,30-03-2025,28-03-2025,28-03-2025 18:59,Delhi,104,Cyber Crime,12,M,None,Other Crime,7,1,18-05-2025
93,23-09-2024,22-09-2024,22-09-2024 19:52,Bangalore,104,Cyber Crime,28,F,None,Other Crime,5,1,03-03-2025
94,19-09-2024,17-09-2024,17-09-2024 06:10,Hyderabad,101,Theft,25,F,None,Property Crime,3,1,30-11-2024
95,14-03-2025,12-03-2025,12-03-2025 18:41,Mumbai,105,Vandalism,37,M,Other,Property Crime,8,0,
96,22-05-2025,19-05-2025,19-05-2025 02:21,Mumbai,101,Theft,42,F,None,Property Crime,3,0,
97,08-09-2024,06-09-2024,06-09-2024 21:57,Chennai,100,Assault,27,F,Blunt Object,Violent Crime,5,0,
98,20-10-2024,18-10-2024,18-10-2024 14:07,Pune,100,Assault,22,M,None,Violent Crime,6,0,
99,05-08-2025,05-08-2025,05-08-2025 15:26,Chennai,100,Assault,26,F,None,Violent Crime,4,0,
100,20-04-2025,17-04-2025,17-04-2025 10:18,Ahmedabad,100,Assault,33,M,Knife,Violent Crime,4,1,23-05-2025
101,08-07-2025,05-07-2025,05-07-2025 23:58,Mumbai,105,Vandalism,10,F,None,Property Crime,6,0,
102,09-04-2025,09-04-2025,09-04-2025 20:36,Ahmedabad,101,Theft,17,F,Other,Property Crime,6,0,
103,21-04-2025,19-04-2025,19-04-2025 22:50,Kolkata,101,Theft,34,M,Other,Property Crime,7,1,13-06-2025
104,26-06-2025,25-06-2025,25-06-2025 10:26,Mumbai,106,Kidnapping,27,M,None,Violent Crime,8,1,08-07-2025
105,29-01-2025,26-01-2025,26-01-2025 08:08,Delhi,104,Cyber Crime,24,M,None,Other Crime,7,0,
106,14-11-2024,12-11-2024,12-11-2024 18:13,Mumbai,107,Terrorism,41,M,Explosives,Violent Crime,20,0,
107,25-10-2024,22-10-2024,22-10-2024 03:34,Chennai,106,Kidnapping,30,M,None,Violent Crime,3,1,12-07-2025
108,28-03-2025,25-03-2025,25-03-2025 17:31,Mumbai,101,Theft,21,M,Other,Property Crime,5,1,02-07-2025
109,09-10-2024,06-10-2024,06-10-2024 21:44,Delhi,105,Vandalism,33,M,Other,Property Crime,8,1,13-11-2024
110,23-01-2025,20-01-2025,20-01-2025 11:42,Mumbai,106,Kidnapping,37,M,Blunt Object,Violent Crime,6,0,
111,02-04-2025,30-03-2025,30-03-2025 07:51,Hyderabad,102,Robbery,11,M,Knife,Property Crime,4,1,30-04-2025
112,13-12-2024,10-12-2024,10-12-2024 13:20,Hyderabad,106,Kidnapping,39,F,Blunt Object,Violent Crime,6,1,04-06-2025
113,01-08-2025,01-08-2025,01-08-2025 21:05,Ahmedabad,102,Robbery,35,M,Blunt Object,Property Crime,7,1,04-08-2025
114,12-09-2024,11-09-2024,11-09-2024 16:33,Bangalore,106,Kidnapping,30,F,None,Violent Crime,5,0,
115,01-09-2024,30-08-2024,30-08-2024 08:04,Delhi,101,Theft,44,F,None,Property Crime,3,0,
116,16-08-2024,15-08-2024,15-08-2024 21:44,Bangalore,104,Cyber Crime,28,F,None,Other Crime,3,1,20-03-2025
117,23-09-2024,20-09-2024,20-09-2024 11:46,Mumbai,102,Robbery,41,F,Blunt Object,Property Crime,8,0,
118,25-09-2024,25-09-2024,25-09-2024 18:34,Bangalore,100,Assault,40,F,None,Violent Crime,2,0,
119,23-08-2024,21-08-2024,21-08-2024 23:57,Chennai,107,Terrorism,30,F,Explosives,Violent Crime,20,0,
120,29-05-2025,29-05-2025,29-05-2025 21:30,Bangalore,103,Homicide,20,M,Firearm,Violent Crime,15,0,
121,30-08-2024,29-08-2024,29-08-2024 23:59,Ahmedabad,104,Cyber Crime,29,F,None,Other Crime,6,0,
122,28-10-2024,27-10-2024,27-10-2024 14:38,Mumbai,101,Theft,23,F,Other,Property Crime,5,0,
123,16-05-2025,15-05-2025,15-05-2025 01:50,Chennai,102,Robbery,16,M,Blunt Object,Property Crime,6,1,14-07-2025
124,14-12-2024,11-12-2024,11-12-2024 01:46,Hyderabad,100,Assault,23,M,Blunt Object,Violent Crime,3,0,
125,18-10-2024,16-10-2024,16-10-2024 19:33,Pune,106,Kidnapping,29,F,None,Violent Crime,3,0,
126,13-06-2025,10-06-2025,10-06-2025 12:43,Pune,105,Vandalism,34,F,Other,Property Crime,8,1,18-07-2025
127,17-01-2025,17-01-2025,17-01-2025 17:34,Delhi,103,Homicide,45,F,Poison,Violent Crime,15,0,
128,05-01-2025,05-01-2025,05-01-2025 23:37,Mumbai,103,Homicide,24,M,Firearm,Violent Crime,15,0,
129,22-11-2024,22-11-2024,22-11-2024 20:39,Delhi,103,Homicide,36,M,Knife,Violent Crime,15,1,25-01-2025
130,07-04-2025,05-04-2025,05-04-2025 23:06,Delhi,100,Assault,24,M,Knife,Violent Crime,3,1,20-06-2025
131,13-06-2025,10-06-2025,10-06-2025 02:15,Chennai,101,Theft,26,F,Other,Property Crime,7,0,
132,15-01-2025,15-01-2025,15-01-2025 20:48,Jaipur,106,Kidnapping,22,M,Blunt Object,Violent Crime,4,1,06-02-2025
133,22-12-2024,20-12-2024,20-12-2024 17:07,Pune,101,Theft,20,M,None,Property Crime,3,0,
134,31-12-2024,28-12-2024,28-12-2024 01:29,Delhi,105,Vandalism,28,F,None,Property Crime,5,0,
135,31-01-2025,31-01-2025,31-01-2025 20:20,Mumbai,106,Kidnapping,20,M,Blunt Object,Violent Crime,3,0,
136,13-09-2024,12-09-2024,12-09-2024 22:26,Ahmedabad,102,Robbery,43,M,Knife,Property Crime,5,1,07-02-2025
137,15-06-2025,12-06-2025,12-06-2025 20:35,Chennai,103,Homicide,32,M,Poison,Violent Crime,15,0,
138,17-04-2025,17-04-2025,17-04-2025 20:14,Ahmedabad,101,Theft,50,M,None,Property Crime,2,1,08-06-2025
139,09-03-2025,06-03-2025,06-03-2025 13:01,Mumbai,106,Kidnapping,20,F,None,Violent Crime,3,0,
140,18-05-2025,17-05-2025,17-05-2025 13:21,Mumbai,100,Assault,29,M,Knife,Violent Crime,8,1,04-06-2025
141,11-05-2025,08-05-2025,08-05-2025 20:51,Pune,101,Theft,45,M,Other,Property Crime,4,0,
142,02-03-2025,02-03-2025,02-03-2025 18:25,Hyderabad,100,Assault,17,M,None,Violent Crime,2,0,
143,09-11-2024,09-11-2024,09-11-2024 10:53,Delhi,105,Vandalism,31,F,Other,Property Crime,6,0,
144,28-01-2025,25-01-2025,25-01-2025 22:54,Bangalore,102,Robbery,40,M,Blunt Object,Property Crime,7,1,24-02-2025
145,24-08-2024,21-08-2024,21-08-2024 17:40,Hyderabad,101,Theft,19,M,Other,Property Crime,8,1,04-02-2025
146,05-08-2025,03-08-2025,03-08-2025 06:34,Mumbai,100,Assault,32,M,Blunt Object,Violent Crime,7,0,
147,09-11-2024,09-11-2024,09-11-2024 18:22,Bangalore,101,Theft,20,M,Other,Property Crime,7,0,
148,27-01-2025,27-01-2025,27-01-2025 23:07,Chennai,102,Robbery,47,F,Knife,Property Crime,8,0,
149,06-09-2024,04-09-2024,04-09-2024 15:10,Delhi,106,Kidnapping,23,F,None,Violent Crime,8,0,
150,26-10-2024,26-10-2024,26-10-2024 17:28,Ludhiana,105,Vandalism,35,M,Other,Property Crime,2,1,30-11-2024
151,13-06-2025,11-06-2025,11-06-2025 18:36,Kolkata,100,Assault,24,M,None,Violent Crime,8,1,21-07-2025
152,02-08-2025,02-08-2025,02-08-2025 22:30,Hyderabad,101,Theft,26,M,Other,Property Crime,6,0,
153,14-04-2025,14-04-2025,14-04-2025 18:19,Mumbai,107,Terrorism,31,F,Firearm,Violent Crime,20,0,
154,26-10-2024,25-10-2024,25-10-2024 19:02,Mumbai,102,Robbery,10,M,Blunt Object,Property Crime,7,0,
155,23-09-2024,20-09-2024,20-09-2024 14:44,Mumbai,106,Kidnapping,10,F,None,Violent Crime,3,0,
156,20-03-2025,18-03-2025,18-03-2025 22:56,Hyderabad,101,Theft,29,M,Other,Property Crime,8,1,15-04-2025
157,22-04-2025,20-04-2025,20-04-2025 01:24,Delhi,101,Theft,55,F,None,Property Crime,5,0,
158,01-10-2024,28-09-2024,28-09-2024 13:38,Jaipur,100,Assault,40,M,Knife,Violent Crime,6,1,05-05-2025
159,02-06-2025,30-05-2025,30-05-2025 20:48,Ahmedabad,106,Kidnapping,21,F,Blunt Object,Violent Crime,5,0,
160,27-11-2024,24-11-2024,24-11-2024 07:31,Ahmedabad,100,Assault,25,F,Blunt Object,Violent Crime,2,0,
161,29-08-2024,27-08-2024,27-08-2024 00:38,Mumbai,103,Homicide,19,M,Firearm,Violent Crime,15,1,23-07-2025
162,21-12-2024,19-12-2024,19-12-2024 21:45,Hyderabad,102,Robbery,19,M,Blunt Object,Property Crime,2,1,02-06-2025
163,13-02-2025,12-02-2025,12-02-2025 11:09,Mumbai,102,Robbery,25,F,Knife,Property Crime,7,0,
164,12-06-2025,11-06-2025,11-06-2025 07:58,Ahmedabad,104,Cyber Crime,20,F,None,Other Crime,7,1,27-07-2025
165,05-12-2024,03-12-2024,03-12-2024 22:11,Mumbai,104,Cyber Crime,10,F,None,Other Crime,4,0,
166,23-07-2025,23-07-2025,23-07-2025 21:21,Mumbai,102,Robbery,54,M,Knife,Property Crime,4,0,
167,25-03-2025,22-03-2025,22-03-2025 23:46,Bangalore,102,Robbery,21,M,Knife,Property Crime,6,0,
168,24-12-2024,21-12-2024,21-12-2024 08:42,Ahmedabad,104,Cyber Crime,31,F,None,Other Crime,2,1,18-03-2025
169,20-11-2024,20-11-2024,20-11-2024 21:03,Hyderabad,105,Vandalism,25,M,None,Property Crime,7,0,
170,27-12-2024,25-12-2024,25-12-2024 20:25,Kolkata,104,Cyber Crime,28,F,None,Other Crime,3,1,15-03-2025
171,19-06-2025,17-06-2025,17-06-2025 17:08,Mumbai,104,Cyber Crime,29,F,None,Other Crime,4,1,28-07-2025
172,31-05-2025,31-05-2025,31-05-2025 00:18,Pune,100,Assault,21,F,None,Violent Crime,6,0,
173,21-06-2025,20-06-2025,20-06-2025 00:00,Ludhiana,102,Robbery,26,F,Firearm,Property Crime,10,1,20-06-2025
174,20-07-2025,17-07-2025,17-07-2025 12:38,Ahmedabad,102,Robbery,30,F,Knife,Property Crime,2,1,22-07-2025
175,08-05-2025,06-05-2025,06-05-2025 21:52,Kolkata,103,Homicide,14,F,Knife,Violent Crime,15,1,11-05-2025
176,07-09-2024,06-09-2024,06-09-2024 00:58,Delhi,106,Kidnapping,25,F,Blunt Object,Violent Crime,4,0,
177,18-08-2024,15-08-2024,15-08-2024 02:36,Pune,103,Homicide,17,M,Poison,Violent Crime,15,0,
178,27-06-2025,25-06-2025,25-06-2025 09:41,Mumbai,104,Cyber Crime,22,F,None,Other Crime,5,0,
179,14-06-2025,14-06-2025,14-06-2025 22:43,Hyderabad,100,Assault,28,M,None,Violent Crime,2,0,
180,23-10-2024,22-10-2024,22-10-2024 23:22,Mumbai,107,Terrorism,36,F,Firearm,Violent Crime,20,1,09-04-2025
181,01-06-2025,01-06-2025,01-06-2025 07:08,Bangalore,101,Theft,17,M,None,Property Crime,6,1,23-07-2025
182,29-11-2024,26-11-2024,26-11-2024 20:01,Delhi,101,Theft,43,F,Other,Property Crime,6,1,13-06-2025
183,08-02-2025,06-02-2025,06-02-2025 09:26,Hyderabad,106,Kidnapping,41,F,None,Violent Crime,6,1,07-06-2025
184,28-05-2025,26-05-2025,26-05-2025 18:50,Bangalore,100,Assault,20,F,Knife,Violent Crime,5,0,
185,07-03-2025,05-03-2025,05-03-2025 19:22,Ahmedabad,107,Terrorism,31,F,Explosives,Violent Crime,20,1,15-06-2025
186,06-06-2025,05-06-2025,05-06-2025 20:38,Kolkata,101,Theft,29,F,None,Property Crime,7,1,14-07-2025
187,06-03-2025,04-03-2025,04-03-2025 10:19,Chennai,100,Assault,33,F,Knife,Violent Crime,3,1,12-05-2025
188,30-05-2025,29-05-2025,29-05-2025 01:47,Mumbai,104,Cyber Crime,24,F,None,Other Crime,7,0,
189,21-08-2024,21-08-2024,21-08-2024 17:10,Delhi,100,Assault,10,M,Blunt Object,Violent Crime,7,1,20-07-2025
190,17-07-2025,16-07-2025,16-07-2025 19:54,Pune,103,Homicide,16,M,Knife,Violent Crime,15,1,29-07-2025
191,24-04-2025,22-04-2025,22-04-2025 21:44,Ludhiana,101,Theft,38,M,Other,Property Crime,3,0,
192,27-07-2025,26-07-2025,26-07-2025 16:26,Delhi,105,Vandalism,23,M,Other,Property Crime,5,0,
193,29-05-2025,29-05-2025,29-05-2025 08:23,Chennai,105,Vandalism,36,M,Other,Property Crime,2,0,
194,12-04-2025,10-04-2025,10-04-2025 01:28,Chennai,104,Cyber Crime,28,M,None,Other Crime,6,1,20-04-2025
195,01-11-2024,29-10-2024,29-10-2024 02:38,Delhi,100,Assault,24,M,Blunt Object,Violent Crime,3,0,
196,21-12-2024,21-12-2024,21-12-2024 10:59,Kolkata,101,Theft,28,M,None,Property Crime,2,1,16-03-2025
197,22-09-2024,19-09-2024,19-09-2024 03:20,Chennai,100,Assault,39,M,Knife,Violent Crime,6,1,19-12-2024
198,10-10-2024,09-10-2024,09-10-2024 00:43,Mumbai,101,Theft,26,M,None,Property Crime,8,1,18-11-2024
199,16-01-2025,13-01-2025,13-01-2025 23:13,Chennai,100,Assault,22,M,Blunt Object,Violent Crime,7,1,18-05-2025
200,07-01-2025,05-01-2025,05-01-2025 02:50,Bangalore,104,Cyber Crime,30,F,None,Other Crime,7,1,04-06-2025
201,04-01-2025,02-01-2025,02-01-2025 20:46,Hyderabad,100,Assault,29,M,None,Violent Crime,5,0,
202,18-08-2024,16-08-2024,16-08-2024 22:16,Mumbai,101,Theft,35,M,Other,Property Crime,3,0,
203,23-11-2024,20-11-2024,20-11-2024 08:58,Delhi,100,Assault,40,M,None,Violent Crime,8,1,15-04-2025
204,26-02-2025,23-02-2025,23-02-2025 20:50,Delhi,103,Homicide,14,M,Firearm,Violent Crime,15,0,
205,18-10-2024,17-10-2024,17-10-2024 00:20,Mumbai,101,Theft,28,F,None,Property Crime,8,0,
206,13-01-2025,12-01-2025,12-01-2025 14:39,Jaipur,106,Kidnapping,44,M,Blunt Object,Violent Crime,6,1,24-02-2025
207,03-09-2024,02-09-2024,02-09-2024 21:49,Kolkata,101,Theft,22,F,None,Property Crime,8,0,
208,24-04-2025,21-04-2025,21-04-2025 06:23,Pune,103,Homicide,30,F,Poison,Violent Crime,15,0,
209,06-08-2025,05-08-2025,05-08-2025 19:05,Delhi,102,Robbery,42,F,Knife,Property Crime,6,0,
210,16-05-2025,13-05-2025,13-05-2025 21:14,Mumbai,100,Assault,37,M,Knife,Violent Crime,7,1,21-06-2025
211,19-12-2024,16-12-2024,16-12-2024 03:40,Pune,104,Cyber Crime,40,M,None,Other Crime,5,1,23-01-2025
212,23-06-2025,21-06-2025,21-06-2025 20:55,Kolkata,101,Theft,31,F,Other,Property Crime,4,0,
213,11-12-2024,10-12-2024,10-12-2024 08:59,Bangalore,101,Theft,55,F,None,Property Crime,2,1,26-06-2025
214,07-04-2025,06-04-2025,06-04-2025 16:15,Hyderabad,100,Assault,43,M,Knife,Violent Crime,2,0,
215,16-02-2025,16-02-2025,16-02-2025 08:31,Bangalore,104,Cyber Crime,22,F,None,Other Crime,4,1,24-04-2025
216,29-08-2024,26-08-2024,26-08-2024 21:37,Bangalore,101,Theft,43,F,None,Property Crime,8,0,
217,28-10-2024,27-10-2024,27-10-2024 20:36,Mumbai,102,Robbery,20,F,Firearm,Property Crime,10,0,
218,02-04-2025,31-03-2025,31-03-2025 19:14,Delhi,105,Vandalism,13,M,Other,Property Crime,8,0,
219,07-01-2025,05-01-2025,05-01-2025 07:50,Hyderabad,104,Cyber Crime,26,M,None,Other Crime,4,1,21-03-2025
220,02-08-2025,01-08-2025,01-08-2025 03:09,Hyderabad,102,Robbery,21,M,Knife,Property Crime,4,0,
221,25-02-2025,25-02-2025,25-02-2025 14:31,Kolkata,103,Homicide,19,M,Firearm,Violent Crime,15,0,
222,13-09-2024,10-09-2024,10-09-2024 07:28,Bangalore,100,Assault,35,M,None,Violent Crime,8,0,
223,11-09-2024,09-09-2024,09-09-2024 09:52,Ahmedabad,101,Theft,26,F,Other,Property Crime,3,1,18-05-2025
